URL,SIZE(bytes),NO OF OUTLINKS,CONTENT-TYPE
https://www.theguardian.com/us-news/2018/jun/22/montana-grizzly-bear-attack-cabinet-mountains,920790,130,text/html
https://www.theguardian.com/us-news/2015/jul/24/rapid-success-15-dollars-minimum-wage-new-york,936297,137,text/html
https://www.theguardian.com/us-news/2018/nov/08/black-women-texas-judge-harris-county,924362,140,text/html
https://www.theguardian.com/us-news/usimmigration/2019/feb/10/all,632020,128,text/html
https://www.theguardian.com/us-news/new-york?page=2,729803,171,text/html
https://www.theguardian.com/us/tv-and-radio,808669,193,text/html
https://www.theguardian.com/us-news/los-angeles,690206,151,text/html
https://www.theguardian.com/us-news/live/2019/feb/11/trump-news-latest-live-updates-government-shutdown-us-politics-today,996973,187,text/html
https://www.theguardian.com/us/culture,771791,186,text/html
https://www.theguardian.com/us-news/2019/feb/11/california-governor-gavin-newsom-trump-border-troops,923629,142,text/html
https://www.theguardian.com/us-news/2018/nov/27/cindy-hyde-smith-wins-mississippi-senate-seat-in-special-election,926332,135,text/html
https://www.theguardian.com/us-news/2018/nov/02/wisconsin-republicans-democrats-rally-campaign-early-voting,950334,147,text/html
https://www.theguardian.com/us-news/2019/feb/09/new-york-southern-district-donald-trump-inauguration-prosecutors,933315,142,text/html
https://www.theguardian.com/us-news/2019/feb/11/immigrant-families-sue-us-government-over-family-separation,925691,137,text/html
https://www.theguardian.com/us/business,741562,185,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/13/all,638434,132,text/html
https://www.theguardian.com/us-news/2019/jan/25/shutdown-latest-news-trump-reopens-government-deal-democrats,922971,142,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington,739568,167,text/html
https://www.theguardian.com/us-news/2018/dec/05/republican-brad-raffensperger-wins-runoff-georgia-secretary-of-state,922592,137,text/html
https://www.theguardian.com/us-news/usimmigration/2019/feb/12/all,648048,138,text/html
https://www.theguardian.com/us-news/2018/nov/17/andrew-gillum-concedes-florida-governors-election-republican-ron-desantis,936141,148,text/html
https://www.theguardian.com/us/film,912752,238,text/html
https://www.theguardian.com/us-news/2019/feb/07/matthew-whitaker-house-testify-subpoena-threat,918049,130,text/html
https://www.theguardian.com/us-news/video/2019/feb/15/nancy-pelosi-slams-donald-trump-national-emergency-over-border-wall-video,891458,127,text/html
https://www.theguardian.com/us-news/louisiana,731913,165,text/html
https://www.theguardian.com/us-news/us-taxation,728063,161,text/html
https://www.theguardian.com/us-news/2018/nov/07/california-orange-county-midterm-elections,924438,136,text/html
https://www.theguardian.com/us-news/2019/feb/10/avert-us-shutdown-talks-stalled-immigration-richard-shelby,950926,154,text/html
https://www.theguardian.com/us-news/texas,688098,151,text/html
https://www.theguardian.com/us-news/2018/nov/07/midterm-elections-analysis-trump-russia-investigation-,945672,160,text/html
https://www.theguardian.com/us-news/us-foreign-policy,724434,170,text/html
https://www.theguardian.com/us-news/video/2019/feb/14/parkland-shooting-one-year-on-powerful-speeches-from-the-survivors-video,888546,123,text/html
https://www.theguardian.com/us-news/hawaii,717658,160,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/15/all,635824,130,text/html
https://www.theguardian.com/us-news/september11,712728,158,text/html
https://www.theguardian.com/us-news/us-midterm-elections-2018/all,714481,164,text/html
https://www.theguardian.com/us-news/2019/feb/12/trump-rally-texas-beto-o-rourke,927849,139,text/html
https://www.theguardian.com/us-news/medicaid,732421,163,text/html
https://www.theguardian.com/us-news/live/2019/feb/08/donald-trump-latest-news-live-matt-whitaker-testify,1043061,206,text/html
https://www.theguardian.com/us-news/us-politics,720848,163,text/html
https://www.theguardian.com/us-news/trump-administration,703856,159,text/html
https://www.theguardian.com/us-news/2019/feb/07/john-dingell-dies-longest-serving-congress-member-us-history,919008,132,text/html
https://www.theguardian.com/us-news/video/2015/sep/29/republicans-planned-parenthood-congress-video,889254,123,text/html
https://www.theguardian.com/us-news/2018/sep/29/elizabeth-warren-presidential-run-2020,926410,142,text/html
https://www.theguardian.com/us-news/2018/dec/12/absentee-ballot-fraud-north-carolina-racism,946102,142,text/html
https://www.theguardian.com/us-news/2018/nov/17/reublicans-look-to-new-hampshire-for-a-potential-trump-2020-challenger,940102,142,text/html
https://www.theguardian.com/us-news/usimmigration/2019/feb/14/all,627657,124,text/html
https://www.theguardian.com/us-news/2016/dec/19/texas-fetal-remains-burial-cremation-law,930216,139,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/08/all,632000,128,text/html
https://www.theguardian.com/us-news/2019/feb/15/jussie-smollett-attack-potential-suspects-arrested-questioned,922450,134,text/html
https://www.theguardian.com/us-news/2019/feb/14/campaign-finance-but-make-it-viral-alexandria-ocasio-cortezs-unlikely-video-hit,917862,136,text/html
https://www.theguardian.com/us-news/democrats,706450,160,text/html
